urn	citationScheme	groupName	workTitle	versionLabel	examplarLabel	online
urn:cts:latinLit:phi1038.phi001.omar:	book/chapter/section	Valerius Maximus	Factorum Et Dictorum Memorabilium	Tesserae edition		true
urn:cts:latinLit:phi1351.phi001.omar:	chapter/section	Tacitus	Agricola	Tesserae edition		true
urn:cts:omar:phi1351.phi002.omar:	chapter/section	Tacitus	Germania	Tesserae edition		true
urn:cts:omar:phi1351.phi003.omar:	chapter/section	Tacitus	Dialogus de Oratoribus	Tesserae edition		true
urn:cts:omar:phi1351.phi004.omar:	book/chapter	Tacius	Historiae	Tesserae edition		true
urn:cts:latinLit:phi1351.phi005.omar:	book/chapter	Tacitus	Annales	Tesserae edition		true
urn:cts:omar:phi0914.phi001.omar:	book/chapter/section	Livy	Ab urbe condita	Tesserae editon		true
urn:cts:omar:phi0631.phi001.omar:	chapter/section	Sallust	Catilina	Tesserae edition		true
urn:cts:omar:phi0631.phi002.omar:	chapter/section	Sallust	Iugurtha	Tesserae edition		true
urn:cts:omar:phi0448.phi001.omar:	book/chapter/section	Julius Caesar	De Bello Gallico	Tesserae edition		true
urn:cts:latinLit:phi1221.phi007.omar:	section	Caesar Augustus	Res Gestae	Tesserae edition		true
urn:cts:latinLit:stoa0023.stoa001.omar:	book/chapter/section	Ammianus Marcellinus	Res Gestae	Tesserae edition		true
urn:cts:latinLit:phi1348.phi001.omar:	life/chapter/section	Suetonius	De Vita Caesarum	Tesserae edition		true
urn:cts:latinLit:phi0588.phi001.omar:	life/chapter/section	Nepos	Vitae	Tesserae edition		true
urn:cts:latinLit:phi0474.phi057.omar:	letter/section	M. Tullius Cicero	Epistulae Ad Atticum	Tessearae edition		true
urn:cts:latinLit:phi0474.phi052.omar:		M. Tullius Cicero	De Amicitia	Tessearae edition		true
urn:cts:latinLit:phi0474.phi018.omar:		M. Tullius Cicero	Cum populo gratias egit	Tessearae edition		true
urn:cts:latinLit:phi0474.phi054.omar:		M. Tullius Cicero	De fato	Tessearae edition		true
urn:cts:latinLit:phi0474.phi048.omar:	chapter/section	M. Tullius Cicero	De Finibus Bonorum et Malorum	Tessearae edition		true
urn:cts:latinLit:phi0474.phi036.omar:	chapter/section	M. Tullius Cicero	De Inventione	Tessearae edition		true
urn:cts:latinLit:phi0474.phi053.omar:	chapter/section	M. Tullius Cicero	De Divinatione	Tessearae edition		true
urn:cts:latinLit:phi0474.phi055.omar:	chapter/section	M. Tullius Cicero	De Officiis	Tessearae edition		true
urn:cts:latinLit:phi0474.phi037.omar:	chapter/section	M. Tullius Cicero	De Oratore	Tessearae edition		true
urn:cts:latinLit:phi0474.phi020.omar:		M. Tullius Cicero	De domo sua	Tessearae edition		true
