urn:cts:latinLit:phi0893.phi002:1	Phoebe silvarumque potens Diana,
urn:cts:latinLit:phi0893.phi002:2	Lucidiim caeli decus, o colendi
urn:cts:latinLit:phi0893.phi002:3	Semper et culti, date quae precamur
urn:cts:latinLit:phi0893.phi002:4	Tempore sacro,
urn:cts:latinLit:phi0893.phi002:5	Quo Sibyllini monuere versus
urn:cts:latinLit:phi0893.phi002:6	Virgines lectas puerosque castos
urn:cts:latinLit:phi0893.phi002:7	Dis quibus septem placuere colles
urn:cts:latinLit:phi0893.phi002:8	Dicere carmen.
urn:cts:latinLit:phi0893.phi002:9	Alme Sol, curru nitido diem qui
urn:cts:latinLit:phi0893.phi002:10	Promis et celas aliusque et idem
urn:cts:latinLit:phi0893.phi002:11	Nasceris, possis nihil urbe Roma
urn:cts:latinLit:phi0893.phi002:12	Visere maius !
urn:cts:latinLit:phi0893.phi002:13	Rite maturos aperire partus
urn:cts:latinLit:phi0893.phi002:14	Lenis, Ilithyia, tuere matres,
urn:cts:latinLit:phi0893.phi002:15	Sive tu Lucina probas vocari
urn:cts:latinLit:phi0893.phi002:16	Seu Genitalis :
urn:cts:latinLit:phi0893.phi002:17	Diva, producas subolem patrumque
urn:cts:latinLit:phi0893.phi002:18	Prosperes decreta super iugandis
urn:cts:latinLit:phi0893.phi002:19	Feminis prolisque novae feraci
urn:cts:latinLit:phi0893.phi002:20	Lege marita,
urn:cts:latinLit:phi0893.phi002:21	Certus undenos deciens per annos
urn:cts:latinLit:phi0893.phi002:22	Orbis ut cantus ref eratque ludos
urn:cts:latinLit:phi0893.phi002:23	Ter die claro totiensque grata
urn:cts:latinLit:phi0893.phi002:24	Nocte frequentes.
urn:cts:latinLit:phi0893.phi002:25	Vosque veraces cecinisse, Parcae,
urn:cts:latinLit:phi0893.phi002:26	Quod semel dictumst stabilisque reruni
urn:cts:latinLit:phi0893.phi002:27	Terminus servet, bona iam peractis
urn:cts:latinLit:phi0893.phi002:28	lungite fata.
urn:cts:latinLit:phi0893.phi002:29	Fertilis frugum pecorisque tellus
urn:cts:latinLit:phi0893.phi002:30	Spicea donet Cererem corona ;
urn:cts:latinLit:phi0893.phi002:31	Nutriant fetus et aquae salubres
urn:cts:latinLit:phi0893.phi002:32	Et Iovis aurae.
urn:cts:latinLit:phi0893.phi002:33	Condito mitis placidusque telo
urn:cts:latinLit:phi0893.phi002:34	Supplices audi pueros, Apollo ;
urn:cts:latinLit:phi0893.phi002:35	Siderum regina bicornis, audi, '
urn:cts:latinLit:phi0893.phi002:36	Luna, puellas :
urn:cts:latinLit:phi0893.phi002:37	Koma si vestrumst opus, Iliaeque
urn:cts:latinLit:phi0893.phi002:38	Litus Etruscum tenuere turmae,
urn:cts:latinLit:phi0893.phi002:39	Iussa pars mutare Lares et urbem
urn:cts:latinLit:phi0893.phi002:40	Sospite cursu,
urn:cts:latinLit:phi0893.phi002:41	Cui per ardentem sine fraude Troiam
urn:cts:latinLit:phi0893.phi002:42	Castus Aeneas patriae superstes
urn:cts:latinLit:phi0893.phi002:43	Liberum munivit iter, daturus
urn:cts:latinLit:phi0893.phi002:44	Plura relictis :
urn:cts:latinLit:phi0893.phi002:45	Di, probos mores docili iuventae,
urn:cts:latinLit:phi0893.phi002:46	Di, senectuti placidae quietem,
urn:cts:latinLit:phi0893.phi002:47	Romulae genti date remque prolemque
urn:cts:latinLit:phi0893.phi002:48	Et decus omne.
urn:cts:latinLit:phi0893.phi002:49	Quaeque vos bobus veneratur albis
urn:cts:latinLit:phi0893.phi002:50	Clarus Anchisae Venerisque sanguis,
urn:cts:latinLit:phi0893.phi002:51	Impetret, bellante prior, iacentem
urn:cts:latinLit:phi0893.phi002:52	Lenis in hostem.
urn:cts:latinLit:phi0893.phi002:53	iam mari terraque manus potentes
urn:cts:latinLit:phi0893.phi002:54	Medus Albanasque timet secures,
urn:cts:latinLit:phi0893.phi002:55	lam Scythae respousa petunt superbi
urn:cts:latinLit:phi0893.phi002:56	Nuper, et Indi.
urn:cts:latinLit:phi0893.phi002:57	lam Fides et Pax et Honor Pudorque
urn:cts:latinLit:phi0893.phi002:58	Priscus et neglecta redire Virtus
urn:cts:latinLit:phi0893.phi002:59	Audet, adparetque beata pleno
urn:cts:latinLit:phi0893.phi002:60	Copia cornu.
urn:cts:latinLit:phi0893.phi002:61	Augur et fulgente decorus arcu
urn:cts:latinLit:phi0893.phi002:62	Phoebus acceptusque novem Camenis,
urn:cts:latinLit:phi0893.phi002:63	Qui salutari levat arte fessos
urn:cts:latinLit:phi0893.phi002:64	Corporis artus,
urn:cts:latinLit:phi0893.phi002:65	Si Palatinas videt aequus arces,
urn:cts:latinLit:phi0893.phi002:66	Rem que Romanam Latiumque felix
urn:cts:latinLit:phi0893.phi002:67	Alterura in lustrum meliusque semper
urn:cts:latinLit:phi0893.phi002:68	Prorogat aevum.
urn:cts:latinLit:phi0893.phi002:69	Quaeque Aventinum tenet Algiduinque,
urn:cts:latinLit:phi0893.phi002:70	Quindecim Diana preces virorum
urn:cts:latinLit:phi0893.phi002:71	Curat et votis puerorum arnicas
urn:cts:latinLit:phi0893.phi002:72	Adplicat aures.
urn:cts:latinLit:phi0893.phi002:73	Haec Tovem sentire deosque cunctos
urn:cts:latinLit:phi0893.phi002:74	Spem bonam cer tarn que domum reporto,
urn:cts:latinLit:phi0893.phi002:75	Doctus et Phoebi chorus et Dianae
urn:cts:latinLit:phi0893.phi002:76	Dicere laudes.
